from,to,amount,type,isFraud
C583984242,C408688303,124210.26,CASH_OUT,0
C449334349,C1477190619,406390.63,TRANSFER,0
C1946500289,C748382555,12747.45,CASH_IN,0
C2035379457,M1250735899,17210.24,PAYMENT,0
C2147246002,C1034690288,287548.26,CASH_IN,0
C1906310517,C809795627,326712.9,CASH_IN,0
C1249789290,M870078784,241.89,PAYMENT,0
C1938448095,M1022031461,5883.37,PAYMENT,0
C508385511,M956027336,13055.28,PAYMENT,0
C1013341637,M1942028884,616.88,PAYMENT,0
C1408936980,C1403087041,107759.5,CASH_OUT,0
C1363041822,C1761313958,18868.29,CASH_IN,0
C1359889730,M1124177815,4986.63,PAYMENT,0
C1270549119,M743266449,17692.64,PAYMENT,0
C2051931889,M2079068430,7457.89,PAYMENT,0
C841098437,C1097907228,2262.52,DEBIT,0
C1484852473,C170358894,67418.91,CASH_IN,0
C2023654274,M210283336,9414.76,PAYMENT,0
C928494081,M981647331,17485.51,PAYMENT,0
C427005441,C106303416,43115.41,CASH_IN,0
C1359417325,M369555754,1408.77,PAYMENT,0
C2074796244,C685696333,251225.77,CASH_OUT,0
C1946350945,C1961399086,329093.01,CASH_OUT,0
C1239333334,C34949923,111900.86,CASH_OUT,0
C1602089084,M1756029493,11348.41,PAYMENT,0
C102483840,M926772394,2249.75,PAYMENT,0
C1483999363,C1151286694,339983.69,CASH_OUT,0
C1477296233,M1819638608,22006.91,PAYMENT,0
C648700740,M157710685,16964.15,PAYMENT,0
C1616958476,C2085899258,125132.6,TRANSFER,0
C1514420564,C792102955,20450.59,CASH_OUT,0
C1794179829,C99867722,124651.74,CASH_IN,0
C1655583311,M976098062,7443.29,PAYMENT,0
C1346718641,M1530543057,18520.37,PAYMENT,0
C1159198332,C1643218906,240938.14,CASH_OUT,0
C804921125,M1348049534,5000.93,PAYMENT,0
C805028279,M118328816,1375.93,PAYMENT,0
C1478451246,M1595492079,9387.6,PAYMENT,0
C1150179328,C1689033792,304736.65,CASH_OUT,0
C605074781,C1782776914,154063.93,CASH_IN,0
C776744634,C102218247,413032.46,CASH_IN,0
C42598404,C261821285,290132.99,CASH_OUT,0
C1260349918,C897735701,1086782.27,TRANSFER,0
C2018348964,C174532841,258677.34,CASH_OUT,0
C340149850,M906983781,680.96,PAYMENT,0
C1039276660,C1990457749,142803.7,CASH_IN,0
C942807624,C1478898162,404013.26,CASH_OUT,0
C2121240346,M300922993,4192.45,PAYMENT,0
C1560448195,M702530586,6865.83,PAYMENT,0
C854642819,C1875697706,199096.88,CASH_OUT,0
C459252785,C903132886,40105.0,CASH_IN,0
C1309130238,M1003264751,29753.14,PAYMENT,0
C849509788,C41102216,37005.75,CASH_OUT,0
C683799433,C1489116061,658510.65,TRANSFER,0
C352220876,M400743766,14962.54,PAYMENT,0
C887004112,C1676533255,115930.12,CASH_IN,0
C763671499,C1891518808,205453.92,CASH_OUT,0
C211960157,M1530234511,8548.76,PAYMENT,0
C2126397003,C1724208100,1958230.6,TRANSFER,0
C1935487738,C700950869,168377.94,CASH_OUT,0
C1471956423,C651806736,142011.88,CASH_IN,0
C20748083,M1298362179,7803.55,PAYMENT,0
C315492035,C145807878,261090.52,CASH_IN,0
C1191854830,C1394009782,185642.4,CASH_OUT,0
C509952728,M1882783306,22673.48,PAYMENT,0
C1181005058,C1996805903,318180.66,CASH_OUT,0
C1260935439,M1471767414,1416.71,PAYMENT,0
C773163139,M1610300123,8941.05,PAYMENT,0
C781839635,C1109678983,103884.78,CASH_OUT,0
C1798880828,M716959429,1412.48,PAYMENT,0
C1800243188,C1957675734,93940.35,CASH_IN,0
C1613457151,M227579288,15039.71,PAYMENT,0
C280147801,M1295606785,10424.44,PAYMENT,0
C1535780730,C262891082,33530.31,CASH_IN,0
C871652084,M888843538,7328.72,PAYMENT,0
C1448380450,C1886475823,18593.97,CASH_IN,0
C1298433128,C353782565,111540.89,CASH_IN,0
C1946777947,M1230436756,16769.79,PAYMENT,0
C1844580132,M563268470,7858.1,PAYMENT,0
C1065363833,C1515536749,292037.17,TRANSFER,0
C303128054,C822214416,63982.69,TRANSFER,0
C710925990,C472295300,153216.34,CASH_IN,0
C548608193,M1953778756,3170.83,PAYMENT,0
C1568656506,C1073161843,107313.94,CASH_OUT,0
C1626747046,C410567421,134328.08,CASH_OUT,0
C1482458700,M1177905091,10446.68,PAYMENT,0
C1169387535,C1384939011,214059.76,CASH_OUT,0
C1507005727,C892045919,313733.83,CASH_IN,0
C271216403,C1737895165,22200.81,CASH_IN,0
C1944531859,C1786396642,178217.38,CASH_OUT,0
C443256575,C179208025,220486.58,CASH_OUT,0
C1367522019,C136356616,875213.55,TRANSFER,0
C897923211,M961418448,14459.22,PAYMENT,0
C1310500423,C907487997,121422.39,CASH_OUT,0
C354902759,C2073353441,39590.21,CASH_OUT,0
C2131394246,C1264872013,273339.15,CASH_OUT,0
C249200083,C271588719,77253.21,CASH_OUT,0
C1860449608,C237467600,74190.1,CASH_OUT,0
C2069695524,C980072701,231641.71,CASH_OUT,0
C72679323,C2058567676,35269.59,CASH_IN,0
C302440786,C57541900,95024.86,CASH_OUT,0
C1786701224,C27127579,386023.54,CASH_OUT,0
C109549101,C463376666,116135.75,CASH_IN,0
C69372757,C1335226346,212884.77,CASH_OUT,0
C1905061351,C1895269207,305973.1,CASH_IN,0
C283168237,C1880058411,162920.46,CASH_IN,0
C1730214975,C1665448501,255955.77,CASH_OUT,0
C105766657,M1313111844,4987.09,PAYMENT,0
C510409191,C1117382784,107141.17,CASH_OUT,0
C1536968899,C2146730126,45301.79,CASH_OUT,0
C710617656,C280794150,115712.36,TRANSFER,0
C2054628112,M1449664957,5220.64,PAYMENT,0
C542975894,C1383678621,91206.28,CASH_IN,0
C1553137068,M1309446387,20936.47,PAYMENT,0
C1600086058,C550754064,173655.13,CASH_OUT,0
C1357070438,C2059762056,218540.35,CASH_OUT,0
C746348142,C1908106443,440759.52,CASH_OUT,0
C432147162,C71562765,268912.48,TRANSFER,0
C640064078,M848116774,245.4,PAYMENT,0
C1780541439,C352607904,35206.18,TRANSFER,0
C756435736,M2113537778,13382.29,PAYMENT,0
C291493936,C2002792683,4859.63,CASH_IN,0
C559078087,C1728460906,518339.83,TRANSFER,0
C604541326,C2146875526,451310.12,TRANSFER,0
C290022912,C381600260,161121.07,CASH_IN,0
C877593625,C1575083932,49364.07,CASH_OUT,0
C1815651807,C158242145,92119.49,CASH_IN,0
C1448400865,C814784749,282508.76,CASH_IN,0
C40905611,C453039491,813462.62,TRANSFER,0
C522950250,C968695097,53797.94,CASH_OUT,0
C1411102270,M8961529,82797.84,PAYMENT,0
C1821641108,C94238070,529508.88,CASH_OUT,0
C1532316610,M1131873222,13763.87,PAYMENT,0
C558630256,M1646382835,13176.51,PAYMENT,0
C805432013,M703071544,58760.91,PAYMENT,0
C362865724,C533887341,1096.42,DEBIT,0
C1013384637,C615345603,42843.05,CASH_OUT,0
C1086764372,C97617767,74833.8,CASH_IN,0
C1692768606,C1122394266,206764.77,CASH_IN,0
C1227984431,C743500120,164032.21,CASH_OUT,0
C820447403,M184735125,9296.83,PAYMENT,0
C789074715,C1881669628,235731.9,CASH_OUT,0
C1064603430,C1727221386,142259.85,CASH_OUT,0
C1405528965,M1933926398,8164.01,PAYMENT,0
C33175299,C1373973293,95263.11,CASH_IN,0
C467717543,C726198580,249585.52,CASH_IN,0
C1675746664,C256865139,396792.55,CASH_IN,0
C1830375097,M1991416,15068.73,PAYMENT,0
C1461159159,C327341526,440773.08,CASH_OUT,0
C1982775599,M1309930156,14298.25,PAYMENT,0
C1292711577,C265777076,78108.5,CASH_IN,0
C1963550118,M1695671000,12596.61,PAYMENT,0
C1259952556,C974768731,31141.94,CASH_IN,0
C2146933874,M1527627185,1251.94,PAYMENT,0
C1480105448,M1374852383,1068.21,PAYMENT,0
C1503346721,C1121802556,455834.18,CASH_IN,0
C236635667,M698251819,14511.02,PAYMENT,0
C409741973,C1904483493,28591.42,CASH_OUT,0
C391871944,C2136570309,193890.52,CASH_IN,0
C244341744,C1300578648,129041.74,CASH_OUT,0
C1450168978,C922807181,215925.55,CASH_OUT,0
C1452534624,C1755130739,136964.13,CASH_OUT,0
C1828136324,M1662786733,3551.26,PAYMENT,0
C1982404838,C1210180003,1331086.47,TRANSFER,0
C322617928,C58016175,244211.66,CASH_OUT,0
C776180615,M2030050716,2901.96,PAYMENT,0
C1916496762,C1377074488,386669.45,CASH_OUT,0
C16708267,M1911445805,24104.54,PAYMENT,0
C1787501728,C850683997,265293.29,CASH_IN,0
C590272894,C274824257,619.31,CASH_OUT,0
C1598042404,C1378537795,875582.25,TRANSFER,0
C240218607,C580319947,54330.72,CASH_OUT,0
C400990872,M300081380,13344.1,PAYMENT,0
C662980180,M317737019,8579.34,PAYMENT,0
C1117122966,C1939378466,163051.33,CASH_OUT,0
C1769987336,C407792911,110568.66,CASH_IN,0
C1019120294,M2011269895,22434.71,PAYMENT,0
C1826659400,C193625667,313664.24,CASH_OUT,0
C571901331,C1698289399,125991.42,CASH_OUT,0
C1902615133,C538113947,93496.01,CASH_OUT,0
C229481481,C61031593,113147.72,CASH_IN,0
C979315962,C45958213,437371.03,TRANSFER,0
C1832568799,M1629378206,7848.71,PAYMENT,0
C1500999280,C1622552473,296870.15,CASH_IN,0
C583270541,C545660061,46773.06,CASH_IN,0
C775199672,C1234632255,106799.55,CASH_IN,0
C1936578603,C1514199309,327534.3,TRANSFER,0
C1619280891,C1837241611,153990.5,TRANSFER,0
C1699211236,C1293949664,935639.61,TRANSFER,0
C948008517,C1939084847,423808.74,CASH_OUT,0
C1549828854,M1435742536,12209.45,PAYMENT,0
C1484287258,C1891826460,220141.98,CASH_IN,0
C1219933393,C644421104,320395.22,CASH_IN,0
C2036462106,M2080924806,5222.23,PAYMENT,0
C1877480943,M17092044,29279.51,PAYMENT,0
C329671918,M830219798,206.84,PAYMENT,0
C1382737049,C1905045732,71997.46,CASH_OUT,0
C2019927907,C1664754826,135411.69,CASH_OUT,0
C1204432983,C1440200379,68324.55,TRANSFER,0
C98762391,C2074710753,29158.25,CASH_IN,0
C872308387,C1631252583,297656.83,CASH_IN,0
C727477811,C773052859,156765.52,CASH_OUT,0
C1773649560,C2085820540,93483.23,CASH_OUT,1
C542988410,C1790242902,218440.55,CASH_OUT,0
C1623560754,M1625741812,14872.25,PAYMENT,0
C1817780317,M1798263689,25540.34,PAYMENT,0
C1512711427,M610095315,336.46,PAYMENT,0
C1816231296,C1362782214,46031.43,CASH_OUT,0
C483691061,C539360430,144153.46,CASH_OUT,0
C1613083227,C1798276972,378955.73,CASH_OUT,0
C827453658,M364965509,17147.59,PAYMENT,0
C1194602188,M897474644,48213.75,PAYMENT,0
C1814014154,C1702939487,210391.93,CASH_IN,0
C1576282858,M1072291811,5718.88,PAYMENT,0
C80009629,C559367869,141273.15,CASH_IN,0
C1589115167,M1768343139,4962.99,PAYMENT,0
C264592116,C761150919,242090.12,CASH_IN,0
C1146107700,M1816242792,1854.44,PAYMENT,0
C335626674,C1512413377,78860.27,CASH_IN,0
C1503656322,M1243910048,5392.12,PAYMENT,0
C1058293025,M741336750,17076.51,PAYMENT,0
C839531987,C1475593328,90723.94,CASH_OUT,0
C1673909196,C1512228906,111054.72,CASH_OUT,0
C389791845,C277058199,25884.0,CASH_OUT,0
C1343366442,C663360097,35472.9,CASH_OUT,0
C435002653,M1177544744,34917.61,PAYMENT,0
C1431131974,M633940431,38264.08,PAYMENT,0
C1949030828,C689421716,378992.97,CASH_OUT,0
C525764198,C1917869329,318738.99,CASH_OUT,0
C1980355330,C859222722,122363.61,CASH_OUT,0
C1765538372,C1060552727,145029.16,CASH_OUT,0
C463410784,C812068864,140162.25,CASH_OUT,0
C1935530674,M1967390182,23715.07,PAYMENT,0
C1331486159,C1340912150,75987.34,CASH_OUT,0
C1732789610,C1338973810,267612.19,CASH_IN,0
C1538904718,M750457778,8360.75,PAYMENT,0
C1544323607,C1386681141,143963.11,CASH_OUT,0
C641130643,C1175208170,143114.75,CASH_IN,0
C1581127881,C1265009796,207918.1,CASH_IN,0
C1089649936,C1152204188,57695.35,CASH_OUT,0
C1383263848,M628249863,12460.31,PAYMENT,0
C991371830,C382073873,52551.05,CASH_IN,0
C1820719608,C613128565,56449.99,CASH_OUT,0
C1774537867,M1631103685,16532.0,PAYMENT,0
C402396374,C786631574,148331.79,CASH_OUT,0
C951531132,M853666510,5021.82,PAYMENT,0
C2022978153,C366268744,195002.03,CASH_OUT,0
C345630943,C845738361,100099.26,CASH_OUT,0
C1315518253,C696129952,120193.92,CASH_OUT,0
C1803002069,M643846034,8452.42,PAYMENT,0
C625476444,C188307334,4126119.93,TRANSFER,0
C1255646682,M1929470346,40925.8,PAYMENT,0
C857906147,M1998016541,44871.04,PAYMENT,0
C456511156,C1632482295,233176.05,CASH_IN,0
C1598086365,M1324449999,10503.54,PAYMENT,0
C786231804,C1167066016,11500.21,CASH_IN,0
C446239502,C1915028592,58148.24,CASH_OUT,0
C1082836606,C242522092,29475.22,CASH_OUT,0
C1909053668,C1795342784,303337.36,CASH_IN,0
C883888639,C1892867454,63328.89,CASH_OUT,0
C456410025,C1346317033,298903.91,CASH_OUT,0
C893629182,C1289700186,148433.99,CASH_OUT,0
C1861550756,C1683549373,136777.48,CASH_IN,0
C411554883,C2054033195,177095.18,CASH_OUT,0
C1362472090,C1894379581,190472.15,CASH_OUT,0
C1239955812,C1636809566,29707.73,CASH_IN,0
C2138549198,C381329398,178844.4,CASH_OUT,0
C2068139505,C272283941,124911.67,CASH_IN,0
C956148525,M34592661,13589.33,PAYMENT,0
C1750384848,C939322176,97301.71,TRANSFER,0
C1367135749,C662936276,181162.39,CASH_IN,0
C324615636,C507662577,105621.61,CASH_IN,0
C507398461,C289827146,147943.65,CASH_OUT,0
C1841108322,C265311387,380803.25,CASH_IN,0
C284456399,M1667812216,361.53,PAYMENT,0
C2030381661,C1219369531,364810.85,CASH_IN,0
C1947833123,C1188470325,45045.18,CASH_IN,0
C1544023267,C2104590009,609216.86,CASH_OUT,0
C730391328,C817067859,147973.64,CASH_OUT,0
C916767038,M1900051947,8363.79,PAYMENT,0
C2030604385,C478451650,44326.32,CASH_OUT,0
C148953922,C1308018080,42441.15,CASH_IN,0
C988195365,C1027773814,62545.94,TRANSFER,0
C215824393,M1145370021,18492.44,PAYMENT,0
C587377409,M2143644128,13755.82,PAYMENT,0
C1047250699,M1901970472,15330.4,PAYMENT,0
C210431435,C1740265449,76188.59,CASH_OUT,0
C115263387,C1550551160,324049.09,CASH_OUT,0
C1665011228,M1247892773,15785.4,PAYMENT,0
C1443582114,C498972208,180064.21,CASH_OUT,0
C1119448553,C1011419007,134423.79,CASH_OUT,0
C989033255,C37924170,7927.43,CASH_IN,0
C1894384509,C58470057,154692.67,CASH_OUT,0
C1126614111,C219537637,34056.36,CASH_OUT,0
C959831541,C1521781395,403549.93,CASH_OUT,0
C1014445701,M851408374,9432.14,PAYMENT,0
C481112045,M1310549886,23766.59,PAYMENT,0
C830049833,C879329312,402018.27,CASH_OUT,0
C1842245528,M1397461092,59531.1,PAYMENT,0
C1596240999,M2000728377,498.58,PAYMENT,0
C558123424,C503230706,100390.56,CASH_IN,0
C499084371,M2038676348,3645.73,PAYMENT,0
C527121410,C1351115755,620587.36,TRANSFER,0
C2040030406,C503053253,199757.83,CASH_IN,0
C691065771,C1446632765,223811.3,CASH_OUT,0
C1592315590,M238502720,1294.83,PAYMENT,0
C1223700231,M280407292,1090.53,PAYMENT,0
C1548427609,C1039401817,628302.04,TRANSFER,0
C334779941,C857726609,147185.6,CASH_OUT,0
C1094243292,C1861227714,188446.12,CASH_IN,0
C1468489255,C685698602,155905.17,CASH_OUT,0
C121673706,M465797053,22568.34,PAYMENT,0
C1110105400,C1555061975,152261.91,CASH_OUT,0
C205926264,C973743007,346868.99,CASH_IN,0
C245485620,C1324177979,259959.84,CASH_OUT,0
C651351828,C463762904,6067.01,CASH_IN,0
C1906253970,M489353970,1957.81,PAYMENT,0
C1627221278,C1573602738,32998.72,CASH_OUT,0
C1313758558,M962639355,8075.25,PAYMENT,0
C42312626,M1912998981,5929.29,PAYMENT,0
C1892790152,C566427967,100384.08,CASH_OUT,0
C963189208,M68565807,15395.66,PAYMENT,0
C1362561820,M575205576,258.55,PAYMENT,0
C943906045,C636138265,216380.5,CASH_IN,0
C1350030880,M1695213463,11441.61,PAYMENT,0
C1248291605,C968882805,70643.9,CASH_IN,0
C1807268726,C500703366,90548.09,CASH_OUT,0
C1991141405,M2075139564,166.91,PAYMENT,0
C758975164,C1378233097,492822.46,TRANSFER,0
C904657322,M481468850,51769.46,PAYMENT,0
C1979501645,C1514794352,248823.52,CASH_OUT,0
C325311902,M725888020,11453.59,PAYMENT,0
C1182820380,C1588957891,164464.11,CASH_OUT,0
C877834987,C1938409896,75297.9,CASH_IN,0
C121617064,C656370020,171697.74,CASH_IN,0
C1832242886,C276191877,123197.02,CASH_IN,0
C615984420,M1832370665,12431.61,PAYMENT,0
C710378611,C1662898073,291331.72,CASH_IN,0
C609387891,C1650704471,345144.58,CASH_OUT,0
C747251675,C1519845212,806863.3,CASH_OUT,1
C977212251,M1416107091,761.48,PAYMENT,0
C101554713,C710342888,1523.38,DEBIT,0
C447146159,C671337546,43159.01,CASH_OUT,0
C248360713,C221754843,176461.36,CASH_OUT,0
C1564902645,M1895691230,2541.55,PAYMENT,0
C2144691964,C271575221,183698.96,CASH_IN,0
C2070002745,M1411035807,9698.49,PAYMENT,0
C1299995578,C708211451,237692.31,CASH_OUT,0
C957587875,C746609581,110101.1,CASH_IN,0
C36185976,C1297505300,135249.4,CASH_OUT,0
C902519236,C1429968288,214124.8,CASH_OUT,0
C2113946113,C425492546,39995.1,CASH_OUT,0
C1332049776,M70000857,2706.27,PAYMENT,0
C1975067906,M882272147,31009.39,PAYMENT,0
C1950011604,C857365378,143484.87,CASH_IN,0
C1185590750,C1602128458,29529.5,CASH_IN,0
C1873356357,M318934800,13507.86,PAYMENT,0
C954473044,C691838055,127498.89,CASH_IN,0
C1444613651,C1961424733,105095.61,CASH_OUT,0
C1492365071,M72606899,7204.87,PAYMENT,0
C141646271,C2082326073,62337.26,CASH_IN,0
C894616067,C1284730927,117647.31,CASH_IN,0
C25554543,C157591472,217551.94,CASH_IN,0
C2081894246,C1792808381,136394.82,CASH_OUT,0
C981606624,M537397999,4224.1,PAYMENT,0
C1928538947,M8336625,7925.85,PAYMENT,0
C1327273607,M2111824551,9118.65,PAYMENT,0
C1702795050,M320891926,6638.31,PAYMENT,0
C871049945,C402262184,2028585.1,TRANSFER,0
C1473474111,C1692832856,261320.32,CASH_OUT,0
C1813715779,C1181681250,155304.73,TRANSFER,0
C590825815,C172475290,168519.09,CASH_OUT,0
C1960897990,C753298852,109435.04,CASH_OUT,0
C1799708023,M1753025523,582.31,PAYMENT,0
C38777806,C1286928684,156493.77,CASH_OUT,0
C1425980682,M782997951,10643.61,PAYMENT,0
C1630913283,C1399458580,50111.49,CASH_OUT,0
C204837053,C699453810,114531.59,CASH_IN,0
C1459471804,C1262011052,242746.5,TRANSFER,0
C1804644264,M703180768,12467.43,PAYMENT,0
C581092628,M727473563,30729.3,PAYMENT,0
C1033179241,M741223780,11600.89,PAYMENT,0
C51713258,C1697147324,128566.05,CASH_OUT,0
C1012444574,C1043731023,82742.97,CASH_IN,0
C1429344237,C2012864987,5621.13,CASH_OUT,0
C1354365880,M1241484709,10692.93,PAYMENT,0
C935830942,C1439366836,127048.8,CASH_OUT,0
C679835635,C592093707,31580.05,CASH_OUT,0
C1994740718,M414554241,59782.45,PAYMENT,0
C1159397263,M1048655542,10452.21,PAYMENT,0
C41281472,M20923479,32724.57,PAYMENT,0
C2045288691,C1970702528,43209.97,CASH_OUT,0
C654007684,M944416080,614.61,PAYMENT,0
C687205356,M1728022128,6345.94,PAYMENT,0
C362808071,C1047773674,273503.4,TRANSFER,0
C133176430,C1645778736,221794.83,CASH_IN,0
C1173615080,M531725823,2588.54,PAYMENT,0
C1024549765,C1305009774,60606.32,CASH_OUT,0
C166446075,C216592405,201007.2,CASH_OUT,0
C820264689,C250343810,139877.02,CASH_IN,0
C30171635,C2103889084,11627.6,CASH_OUT,0
C470143903,C85010535,122426.33,CASH_OUT,0
C487812799,C1837095482,275609.35,CASH_OUT,0
C1434018911,C2076351339,194396.2,CASH_OUT,0
C1831036283,C683138717,33077.87,CASH_OUT,0
C1976238602,M510682926,3873.38,PAYMENT,0
C171710026,C876071903,328218.97,CASH_IN,0
C2111405403,C321717015,83493.15,CASH_OUT,0
C1607635931,M979933234,36862.87,PAYMENT,0
C110048837,C471450373,376550.63,CASH_IN,0
C498744194,M877647877,6905.63,PAYMENT,0
C1600631464,C83179166,269030.81,CASH_IN,0
C1228793560,C1362453499,242891.09,CASH_OUT,0
C981409446,C1584838894,233144.01,CASH_OUT,0
C1133286126,C890377362,64851.41,CASH_IN,0
C859180153,C1356915369,307084.24,CASH_IN,0
C173650238,C109775032,9426.71,CASH_IN,0
C974160097,C447070962,90730.07,CASH_OUT,0
C716006124,C1560501002,11756.35,CASH_OUT,0
C1161563257,C1858926350,241110.6,CASH_OUT,0
C984183367,C1646096543,102963.17,CASH_OUT,0
C211548782,C308067528,22813.55,CASH_IN,0
C452328676,C2111561670,122320.7,CASH_OUT,0
C1272954468,C1824264467,225604.23,CASH_OUT,0
C205094671,C1808866632,36831.01,CASH_IN,0
C2103095274,C2133414706,56418.29,CASH_IN,0
C902469108,C1172704377,249617.0,CASH_IN,0
C475092059,C2020860569,104826.04,CASH_OUT,0
C911386330,C1582426917,382764.76,CASH_IN,0
C970996326,C1754142396,79906.11,CASH_OUT,0
C343462036,M790244937,8965.3,PAYMENT,0
C757911593,C1190131047,71366.59,CASH_OUT,0
C347970069,M722510812,1878.78,PAYMENT,0
C208207382,C320737482,89610.96,CASH_OUT,0
C567856792,M895431242,6181.42,PAYMENT,0
C1408894524,C250012975,104686.25,CASH_IN,0
C561085588,C796091198,88115.81,CASH_OUT,0
C26798809,C266220697,28360.65,CASH_OUT,0
C317896838,C958953991,213617.39,CASH_OUT,0
C1438120296,M813735378,22663.99,PAYMENT,0
C1128647304,C1941916202,26466.95,CASH_OUT,0
C2111535698,C650035806,306082.37,CASH_OUT,0
C1367953979,M324342131,1432.93,PAYMENT,0
C713164662,C1283374857,1130873.56,TRANSFER,0
C585438732,M684850051,1356.14,PAYMENT,0
C1578615855,C339470009,112090.39,CASH_OUT,0
C764727602,C1577025186,192874.26,CASH_OUT,0
C1459453955,C2077576601,151506.34,CASH_OUT,0
C1935842028,C424825750,239759.86,CASH_IN,0
C1236972535,C100195995,503738.93,CASH_OUT,0
C1398270489,M4347320,36418.46,PAYMENT,0
C1798524768,C1975918135,319441.79,CASH_OUT,0
C1482622089,C739880811,186125.96,CASH_OUT,0
C2140826890,C1069968715,62846.46,TRANSFER,0
C1891624473,C1601205723,840454.1,TRANSFER,0
C1700308663,C312713305,82504.57,CASH_OUT,0
C1909470620,M1682408611,20751.36,PAYMENT,0
C1386679879,C1064868912,140067.49,CASH_OUT,0
C2118989260,C846135284,48899.11,CASH_OUT,0
C1459123422,C549139955,2120611.12,TRANSFER,0
C494742384,C329456197,113961.29,CASH_IN,0
C46021971,C1742467356,177936.44,CASH_IN,0
C427769346,C167175733,116528.64,CASH_IN,0
C502532257,C1167337612,117174.85,CASH_OUT,0
C788347695,M818025487,9031.59,PAYMENT,0
C1572564959,C369284896,284181.35,TRANSFER,0
C1634722951,M736920118,5151.1,PAYMENT,0
C728984460,C639921569,4953893.08,TRANSFER,1
C1199356949,C912095413,77368.75,CASH_IN,0
